PassengerId,Pclass,Sex,Age,Parch,Embarked,Title,Deck,FamilySize,IsAlone
152,1,1,22.0,0,0,Mrs,2,2,0
153,3,0,55.5,0,0,Mr,8,1,1
154,3,0,40.5,2,0,Mr,8,3,0
155,3,0,30.0,0,0,Mr,8,1,1
156,1,0,51.0,1,1,Mr,8,2,0
157,3,1,16.0,0,2,Miss,8,1,1
158,3,0,30.0,0,0,Mr,8,1,1
159,3,0,30.0,0,0,Mr,8,1,1
160,3,0,3.5,2,0,Master,8,11,0
161,3,0,44.0,1,0,Mr,8,2,0
162,2,1,40.0,0,0,Mrs,8,1,1
163,3,0,26.0,0,0,Mr,8,1,1
164,3,0,17.0,0,0,Mr,8,1,1
165,3,0,1.0,1,0,Master,8,6,0
166,3,0,9.0,2,0,Master,8,3,0
167,1,1,35.0,1,0,Mrs,4,2,0
168,3,1,45.0,4,0,Mrs,8,6,0
169,1,0,30.0,0,0,Mr,8,1,1
170,3,0,28.0,0,0,Mr,8,1,1
171,1,0,61.0,0,0,Mr,1,1,1
172,3,0,4.0,1,2,Master,8,6,0
173,3,1,1.0,1,0,Miss,8,3,0
174,3,0,21.0,0,0,Mr,8,1,1
175,1,0,56.0,0,1,Mr,0,1,1
176,3,0,18.0,1,0,Mr,8,3,0
177,3,0,3.5,1,0,Master,8,5,0
178,1,1,50.0,0,1,Miss,2,1,1
179,2,0,30.0,0,0,Mr,8,1,1
180,3,0,36.0,0,0,Mr,8,1,1
181,3,1,21.0,2,0,Miss,8,11,0
182,2,0,30.0,0,1,Mr,8,1,1
183,3,0,9.0,2,0,Master,8,7,0
184,2,0,1.0,1,0,Master,5,4,0
185,3,1,4.0,2,0,Miss,8,3,0
186,1,0,30.0,0,0,Mr,0,1,1
187,3,1,35.0,0,2,Mrs,8,2,0
188,1,0,45.0,0,0,Mr,8,1,1
189,3,0,40.0,1,2,Mr,8,3,0
190,3,0,36.0,0,0,Mr,8,1,1
191,2,1,32.0,0,0,Mrs,8,1,1
192,2,0,19.0,0,0,Mr,8,1,1
193,3,1,19.0,0,0,Miss,8,2,0
194,2,0,3.0,1,0,Master,5,3,0
195,1,1,44.0,0,1,Mrs,1,1,1
196,1,1,58.0,0,1,Miss,1,1,1
197,3,0,30.0,0,2,Mr,8,1,1
198,3,0,42.0,1,0,Mr,8,2,0
199,3,1,21.0,0,2,Miss,8,1,1
200,2,1,24.0,0,0,Miss,8,1,1
201,3,0,28.0,0,0,Mr,8,1,1
202,3,0,30.0,2,0,Mr,8,11,0
203,3,0,34.0,0,0,Mr,8,1,1
204,3,0,45.5,0,1,Mr,8,1,1
205,3,0,18.0,0,0,Mr,8,1,1
206,3,1,2.0,1,0,Miss,6,2,0
207,3,0,32.0,0,0,Mr,8,2,0
208,3,0,26.0,0,1,Mr,8,1,1
209,3,1,16.0,0,2,Miss,8,1,1
210,1,0,40.0,0,1,Mr,0,1,1
211,3,0,24.0,0,0,Mr,8,1,1
212,2,1,35.0,0,0,Miss,8,1,1
213,3,0,22.0,0,0,Mr,8,1,1
214,2,0,30.0,0,0,Mr,8,1,1
215,3,0,30.0,0,2,Mr,8,2,0
216,1,1,31.0,0,1,Miss,3,2,0
217,3,1,27.0,0,0,Miss,8,1,1
218,2,0,42.0,0,0,Mr,8,2,0
219,1,1,32.0,0,1,Miss,3,1,1
220,2,0,30.0,0,0,Mr,8,1,1
221,3,0,16.0,0,0,Mr,8,1,1
222,2,0,27.0,0,0,Mr,8,1,1
223,3,0,51.0,0,0,Mr,8,1,1
224,3,0,30.0,0,0,Mr,8,1,1
225,1,0,38.0,0,0,Mr,2,2,0
226,3,0,22.0,0,0,Mr,8,1,1
227,2,0,19.0,0,0,Mr,8,1,1
228,3,0,20.5,0,0,Mr,8,1,1
229,2,0,18.0,0,0,Mr,8,1,1
230,3,1,21.0,1,0,Miss,8,5,0
231,1,1,35.0,0,0,Mrs,2,2,0
232,3,0,29.0,0,0,Mr,8,1,1
233,2,0,59.0,0,0,Mr,8,1,1
234,3,1,5.0,2,0,Miss,8,7,0
235,2,0,24.0,0,0,Mr,8,1,1
236,3,1,21.0,0,0,Miss,8,1,1
237,2,0,44.0,0,0,Mr,8,2,0
238,2,1,8.0,2,0,Miss,8,3,0
239,2,0,19.0,0,0,Mr,8,1,1
240,2,0,33.0,0,0,Mr,8,1,1
241,3,1,21.0,0,1,Miss,8,2,0
242,3,1,21.0,0,2,Miss,8,2,0
243,2,0,29.0,0,0,Mr,8,1,1
244,3,0,22.0,0,0,Mr,8,1,1
245,3,0,30.0,0,1,Mr,8,1,1
246,1,0,44.0,0,2,Rare,2,3,0
247,3,1,25.0,0,0,Miss,8,1,1
248,2,1,24.0,2,0,Mrs,8,3,0
249,1,0,37.0,1,0,Mr,3,3,0
250,2,0,54.0,0,0,Rare,8,2,0
251,3,0,30.0,0,0,Mr,8,1,1
252,3,1,29.0,1,0,Mrs,6,3,0
253,1,0,62.0,0,0,Mr,2,1,1
254,3,0,30.0,0,0,Mr,8,2,0
255,3,1,41.0,2,0,Mrs,8,3,0
256,3,1,29.0,2,1,Mrs,8,3,0
257,1,1,35.0,0,1,Mrs,8,1,1
258,1,1,30.0,0,0,Miss,1,1,1
259,1,1,35.0,0,1,Miss,8,1,1
260,2,1,50.0,1,0,Mrs,8,2,0
261,3,0,30.0,0,2,Mr,8,1,1
262,3,0,3.0,2,0,Master,8,7,0
263,1,0,52.0,1,0,Mr,4,3,0
264,1,0,40.0,0,0,Mr,1,1,1
265,3,1,21.0,0,2,Miss,8,1,1
266,2,0,36.0,0,0,Mr,8,1,1
267,3,0,16.0,1,0,Mr,8,6,0
268,3,0,25.0,0,0,Mr,8,2,0
269,1,1,58.0,1,0,Mrs,2,2,0
270,1,1,35.0,0,0,Miss,2,1,1
271,1,0,30.0,0,0,Mr,8,1,1
272,3,0,25.0,0,0,Mr,8,1,1
273,2,1,41.0,1,0,Mrs,8,2,0
274,1,0,37.0,1,1,Mr,2,2,0
275,3,1,21.0,0,2,Miss,8,1,1
276,1,1,63.0,0,0,Miss,3,2,0
277,3,1,45.0,0,0,Miss,8,1,1
278,2,0,30.0,0,0,Mr,8,1,1
279,3,0,7.0,1,2,Master,8,6,0
280,3,1,35.0,1,0,Mrs,8,3,0
281,3,0,65.0,0,2,Mr,8,1,1
282,3,0,28.0,0,0,Mr,8,1,1
283,3,0,16.0,0,0,Mr,8,1,1
284,3,0,19.0,0,0,Mr,8,1,1
285,1,0,30.0,0,0,Mr,0,1,1
286,3,0,33.0,0,1,Mr,8,1,1
287,3,0,30.0,0,0,Mr,8,1,1
288,3,0,22.0,0,0,Mr,8,1,1
289,2,0,42.0,0,0,Mr,8,1,1
290,3,1,22.0,0,2,Miss,8,1,1
291,1,1,26.0,0,0,Miss,8,1,1
292,1,1,19.0,0,1,Mrs,1,2,0
293,2,0,36.0,0,1,Mr,3,1,1
294,3,1,24.0,0,0,Miss,8,1,1
295,3,0,24.0,0,0,Mr,8,1,1
296,1,0,30.0,0,1,Mr,8,1,1
297,3,0,23.5,0,1,Mr,8,1,1
298,1,1,2.0,2,0,Miss,2,4,0
299,1,0,30.0,0,0,Mr,2,1,1
300,1,1,50.0,1,1,Mrs,1,2,0
301,3,1,21.0,0,2,Miss,8,1,1
302,3,0,30.0,0,2,Mr,8,3,0
303,3,0,19.0,0,0,Mr,8,1,1
304,2,1,21.0,0,2,Miss,4,1,1
305,3,0,30.0,0,0,Mr,8,1,1
306,1,0,0.92,2,0,Master,2,4,0
307,1,1,21.0,0,1,Miss,8,1,1
308,1,1,17.0,0,1,Mrs,2,2,0
309,2,0,30.0,0,1,Mr,8,2,0
310,1,1,30.0,0,1,Miss,4,1,1
311,1,1,24.0,0,1,Miss,2,1,1
312,1,1,18.0,2,1,Miss,1,5,0
313,2,1,26.0,1,0,Mrs,8,3,0
314,3,0,28.0,0,0,Mr,8,1,1
315,2,0,43.0,1,0,Mr,8,3,0
316,3,1,26.0,0,0,Miss,8,1,1
317,2,1,24.0,0,0,Mrs,8,2,0
318,2,0,54.0,0,0,Rare,8,1,1
319,1,1,31.0,2,0,Miss,2,3,0
320,1,1,40.0,1,1,Mrs,4,3,0
321,3,0,22.0,0,0,Mr,8,1,1
322,3,0,27.0,0,0,Mr,8,1,1
323,2,1,30.0,0,2,Miss,8,1,1
324,2,1,22.0,1,0,Mrs,8,3,0
325,3,0,30.0,2,0,Mr,8,11,0
326,1,1,36.0,0,1,Miss,2,1,1
327,3,0,61.0,0,0,Mr,8,1,1
328,2,1,36.0,0,0,Mrs,3,1,1
329,3,1,31.0,1,0,Mrs,8,3,0
330,1,1,16.0,1,1,Miss,1,2,0
331,3,1,21.0,0,2,Miss,8,3,0
332,1,0,45.5,0,0,Mr,2,1,1
333,1,0,38.0,1,0,Mr,2,2,0
334,3,0,16.0,0,0,Mr,8,3,0
335,1,1,35.0,0,0,Mrs,8,2,0
336,3,0,30.0,0,0,Mr,8,1,1
337,1,0,29.0,0,0,Mr,2,2,0
338,1,1,41.0,0,1,Miss,4,1,1
339,3,0,45.0,0,0,Mr,8,1,1
340,1,0,45.0,0,0,Mr,7,1,1
341,2,0,2.0,1,0,Master,5,3,0
342,1,1,24.0,2,0,Miss,2,6,0
343,2,0,28.0,0,0,Mr,8,1,1
344,2,0,25.0,0,0,Mr,8,1,1
345,2,0,36.0,0,0,Mr,8,1,1
346,2,1,24.0,0,0,Miss,5,1,1
347,2,1,40.0,0,0,Miss,8,1,1
348,3,1,35.0,0,0,Mrs,8,2,0
349,3,0,3.0,1,0,Master,8,3,0
350,3,0,42.0,0,0,Mr,8,1,1
351,3,0,23.0,0,0,Mr,8,1,1
352,1,0,30.0,0,0,Mr,2,1,1
353,3,0,15.0,1,1,Mr,8,3,0
354,3,0,25.0,0,0,Mr,8,2,0
355,3,0,30.0,0,1,Mr,8,1,1
356,3,0,28.0,0,0,Mr,8,1,1
357,1,1,22.0,1,0,Miss,4,2,0
358,2,1,38.0,0,0,Miss,8,1,1
359,3,1,21.0,0,2,Miss,8,1,1
360,3,1,21.0,0,2,Miss,8,1,1
361,3,0,40.0,4,0,Mr,8,6,0
362,2,0,29.0,0,1,Mr,8,2,0
363,3,1,45.0,1,1,Mrs,8,2,0
364,3,0,35.0,0,0,Mr,8,1,1
365,3,0,30.0,0,2,Mr,8,2,0
366,3,0,30.0,0,0,Mr,8,1,1
367,1,1,60.0,0,1,Mrs,3,2,0
368,3,1,35.0,0,1,Mrs,8,1,1
369,3,1,21.0,0,2,Miss,8,1,1
370,1,1,24.0,0,1,Mrs,1,1,1
371,1,0,25.0,0,1,Mr,4,2,0
372,3,0,18.0,0,0,Mr,8,2,0
373,3,0,19.0,0,0,Mr,8,1,1
374,1,0,22.0,0,1,Mr,8,1,1
375,3,1,3.0,1,0,Miss,8,5,0
376,1,1,35.0,0,1,Mrs,8,2,0
377,3,1,22.0,0,0,Miss,8,1,1
378,1,0,27.0,2,1,Mr,2,3,0
379,3,0,20.0,0,1,Mr,8,1,1
380,3,0,19.0,0,0,Mr,8,1,1
381,1,1,42.0,0,1,Miss,8,1,1
382,3,1,1.0,2,1,Miss,8,3,0
383,3,0,32.0,0,0,Mr,8,1,1
384,1,1,35.0,0,0,Mrs,8,2,0
385,3,0,30.0,0,0,Mr,8,1,1
386,2,0,18.0,0,0,Mr,8,1,1
387,3,0,1.0,2,0,Master,8,8,0
388,2,1,36.0,0,0,Miss,8,1,1
389,3,0,30.0,0,2,Mr,8,1,1
390,2,1,17.0,0,1,Miss,8,1,1
391,1,0,36.0,2,0,Mr,1,4,0
392,3,0,21.0,0,0,Mr,8,1,1
393,3,0,28.0,0,0,Mr,8,3,0
394,1,1,23.0,0,1,Miss,3,2,0
395,3,1,24.0,2,0,Mrs,6,3,0
396,3,0,22.0,0,0,Mr,8,1,1
397,3,1,31.0,0,0,Miss,8,1,1
398,2,0,46.0,0,0,Mr,8,1,1
399,2,0,23.0,0,0,Rare,8,1,1
400,2,1,28.0,0,0,Mrs,8,1,1
401,3,0,39.0,0,0,Mr,8,1,1
402,3,0,26.0,0,0,Mr,8,1,1
403,3,1,21.0,0,0,Miss,8,2,0
404,3,0,28.0,0,0,Mr,8,2,0
405,3,1,20.0,0,0,Miss,8,1,1
406,2,0,34.0,0,0,Mr,8,2,0
407,3,0,51.0,0,0,Mr,8,1,1
408,2,0,3.0,1,0,Master,8,3,0
409,3,0,21.0,0,0,Mr,8,1,1
410,3,1,21.0,1,0,Miss,8,5,0
411,3,0,30.0,0,0,Mr,8,1,1
412,3,0,30.0,0,2,Mr,8,1,1
413,1,1,33.0,0,2,Miss,2,2,0
414,2,0,30.0,0,0,Mr,8,1,1
415,3,0,44.0,0,0,Mr,8,1,1
416,3,1,35.0,0,0,Mrs,8,1,1
417,2,1,34.0,1,0,Mrs,8,3,0
418,2,1,18.0,2,0,Miss,8,3,0
419,2,0,30.0,0,0,Mr,8,1,1
420,3,1,10.0,2,0,Miss,8,3,0
421,3,0,30.0,0,1,Mr,8,1,1
422,3,0,21.0,0,2,Mr,8,1,1
423,3,0,29.0,0,0,Mr,8,1,1
424,3,1,28.0,1,0,Mrs,8,3,0
425,3,0,18.0,1,0,Mr,8,3,0
426,3,0,30.0,0,0,Mr,8,1,1
427,2,1,28.0,0,0,Mrs,8,2,0
428,2,1,19.0,0,0,Miss,8,1,1
429,3,0,30.0,0,2,Mr,8,1,1
430,3,0,32.0,0,0,Mr,4,1,1
431,1,0,28.0,0,0,Mr,2,1,1
432,3,1,35.0,0,0,Mrs,8,2,0
433,2,1,42.0,0,0,Mrs,8,2,0
434,3,0,17.0,0,0,Mr,8,1,1
435,1,0,50.0,0,0,Mr,4,2,0
436,1,1,14.0,2,0,Miss,1,4,0
437,3,1,21.0,2,0,Miss,8,5,0
438,2,1,24.0,3,0,Mrs,8,6,0
439,1,0,64.0,4,0,Mr,2,6,0
440,2,0,31.0,0,0,Mr,8,1,1
441,2,1,45.0,1,0,Mrs,8,3,0
442,3,0,20.0,0,0,Mr,8,1,1
443,3,0,25.0,0,0,Mr,8,2,0
444,2,1,28.0,0,0,Miss,8,1,1
445,3,0,30.0,0,0,Mr,8,1,1
446,1,0,4.0,2,0,Master,0,3,0
447,2,1,13.0,1,0,Miss,8,2,0
448,1,0,34.0,0,0,Mr,8,1,1
449,3,1,5.0,1,1,Miss,8,4,0
450,1,0,52.0,0,0,Rare,2,1,1
451,2,0,36.0,2,0,Mr,8,4,0
452,3,0,30.0,0,0,Mr,8,2,0
453,1,0,30.0,0,1,Mr,2,1,1
454,1,0,49.0,0,1,Mr,2,2,0
455,3,0,30.0,0,0,Mr,8,1,1
456,3,0,29.0,0,1,Mr,8,1,1
457,1,0,65.0,0,0,Mr,4,1,1
458,1,1,35.0,0,0,Mrs,3,2,0
459,2,1,50.0,0,0,Miss,8,1,1
460,3,0,30.0,0,2,Mr,8,1,1
461,1,0,48.0,0,0,Mr,4,1,1
462,3,0,34.0,0,0,Mr,8,1,1
463,1,0,47.0,0,0,Mr,4,1,1
464,2,0,48.0,0,0,Mr,8,1,1
465,3,0,30.0,0,0,Mr,8,1,1
466,3,0,38.0,0,0,Mr,8,1,1
467,2,0,30.0,0,0,Mr,8,1,1
468,1,0,56.0,0,0,Mr,8,1,1
469,3,0,30.0,0,2,Mr,8,1,1
470,3,1,0.75,1,1,Miss,8,4,0
471,3,0,30.0,0,0,Mr,8,1,1
472,3,0,38.0,0,0,Mr,8,1,1
473,2,1,33.0,2,0,Mrs,8,4,0
474,2,1,23.0,0,1,Mrs,3,1,1
475,3,1,22.0,0,0,Miss,8,1,1
476,1,0,30.0,0,0,Mr,0,1,1
477,2,0,34.0,0,0,Mr,8,2,0
478,3,0,29.0,0,0,Mr,8,2,0
479,3,0,22.0,0,0,Mr,8,1,1
480,3,1,2.0,1,0,Miss,8,2,0
481,3,0,9.0,2,0,Master,8,8,0
482,2,0,30.0,0,0,Mr,8,1,1
483,3,0,50.0,0,0,Mr,8,1,1
484,3,1,63.0,0,0,Mrs,8,1,1
485,1,0,25.0,0,1,Mr,1,2,0
486,3,1,21.0,1,0,Miss,8,5,0
487,1,1,35.0,0,0,Mrs,2,2,0
488,1,0,58.0,0,1,Mr,1,1,1
489,3,0,30.0,0,0,Mr,8,1,1
490,3,0,9.0,1,0,Master,8,3,0
491,3,0,30.0,0,0,Mr,8,2,0
492,3,0,21.0,0,0,Mr,8,1,1
493,1,0,55.0,0,0,Mr,2,1,1
494,1,0,71.0,0,1,Mr,8,1,1
495,3,0,21.0,0,0,Mr,8,1,1
496,3,0,30.0,0,1,Mr,8,1,1
497,1,1,54.0,0,1,Miss,3,2,0
498,3,0,30.0,0,0,Mr,8,1,1
499,1,1,25.0,2,0,Mrs,2,4,0
500,3,0,24.0,0,0,Mr,8,1,1
501,3,0,17.0,0,0,Mr,8,1,1
502,3,1,21.0,0,2,Miss,8,1,1
503,3,1,21.0,0,2,Miss,8,1,1
504,3,1,37.0,0,0,Miss,8,1,1
505,1,1,16.0,0,0,Miss,1,1,1
506,1,0,18.0,0,1,Mr,2,2,0
507,2,1,33.0,2,0,Mrs,8,3,0
508,1,0,30.0,0,0,Mr,8,1,1
509,3,0,28.0,0,0,Mr,8,1,1
510,3,0,26.0,0,0,Mr,8,1,1
511,3,0,29.0,0,2,Mr,8,1,1
512,3,0,30.0,0,0,Mr,8,1,1
513,1,0,36.0,0,0,Mr,4,1,1
514,1,1,54.0,0,1,Mrs,8,2,0
515,3,0,24.0,0,0,Mr,8,1,1
516,1,0,47.0,0,0,Mr,3,1,1
517,2,1,34.0,0,0,Mrs,5,1,1
518,3,0,30.0,0,2,Mr,8,1,1
519,2,1,36.0,0,0,Mrs,8,2,0
520,3,0,32.0,0,0,Mr,8,1,1
521,1,1,30.0,0,0,Miss,1,1,1
522,3,0,22.0,0,0,Mr,8,1,1
523,3,0,30.0,0,1,Mr,8,1,1
524,1,1,44.0,1,1,Mrs,1,2,0
525,3,0,30.0,0,1,Mr,8,1,1
526,3,0,40.5,0,2,Mr,8,1,1
527,2,1,50.0,0,0,Miss,8,1,1
528,1,0,30.0,0,0,Mr,2,1,1
529,3,0,39.0,0,0,Mr,8,1,1
530,2,0,23.0,1,0,Mr,8,4,0
531,2,1,2.0,1,0,Miss,8,3,0
532,3,0,30.0,0,1,Mr,8,1,1
533,3,0,17.0,1,1,Mr,8,3,0
534,3,1,35.0,2,1,Mrs,8,3,0
535,3,1,30.0,0,0,Miss,8,1,1
536,2,1,7.0,2,0,Miss,8,3,0
537,1,0,45.0,0,0,Rare,1,1,1
538,1,1,30.0,0,1,Miss,8,1,1
539,3,0,30.0,0,0,Mr,8,1,1
540,1,1,22.0,2,1,Miss,1,3,0
541,1,1,36.0,2,0,Miss,1,3,0
542,3,1,9.0,2,0,Miss,8,7,0
543,3,1,11.0,2,0,Miss,8,7,0
544,2,0,32.0,0,0,Mr,8,2,0
545,1,0,50.0,0,1,Mr,2,2,0
546,1,0,64.0,0,0,Mr,8,1,1
547,2,1,19.0,0,0,Mrs,8,2,0
548,2,0,30.0,0,1,Mr,8,1,1
549,3,0,33.0,1,0,Mr,8,3,0
550,2,0,8.0,1,0,Master,8,3,0
551,1,0,17.0,2,1,Mr,2,3,0
552,2,0,27.0,0,0,Mr,8,1,1
553,3,0,30.0,0,2,Mr,8,1,1
554,3,0,22.0,0,1,Mr,8,1,1
555,3,1,22.0,0,0,Miss,8,1,1
556,1,0,62.0,0,0,Mr,8,1,1
557,1,1,48.0,0,1,Rare,0,2,0
558,1,0,30.0,0,1,Mr,8,1,1
559,1,1,39.0,1,0,Mrs,4,3,0
560,3,1,36.0,0,0,Mrs,8,2,0
561,3,0,30.0,0,2,Mr,8,1,1
562,3,0,40.0,0,0,Mr,8,1,1
563,2,0,28.0,0,0,Mr,8,1,1
564,3,0,30.0,0,0,Mr,8,1,1
565,3,1,21.0,0,0,Miss,8,1,1
566,3,0,24.0,0,0,Mr,8,3,0
567,3,0,19.0,0,0,Mr,8,1,1
568,3,1,29.0,4,0,Mrs,8,5,0
569,3,0,30.0,0,1,Mr,8,1,1
570,3,0,32.0,0,0,Mr,8,1,1
571,2,0,62.0,0,0,Mr,8,1,1
572,1,1,53.0,0,0,Mrs,2,3,0
573,1,0,36.0,0,0,Mr,4,1,1
574,3,1,21.0,0,2,Miss,8,1,1
575,3,0,16.0,0,0,Mr,8,1,1
576,3,0,19.0,0,0,Mr,8,1,1
577,2,1,34.0,0,0,Miss,8,1,1
